1	367
2	363
3	359
4	342
5	336
6	320
7	317
8	312
9	305
10	301
11	298
12	275
13	270
14	265
15	263
16	251
17	249
18	247
19	235
20	231
21	213
22	203
23	195
24	190
25	189
26	184
27	179
28	176
29	173
30	172
31	168
32	166
33	165
34	163
35	162
36	161
37	158
38	156
39	154
40	151
41	147
42	146
43	145
44	142
45	141
46	138
47	133
48	132
49	130
50	129
51	128
52	127
53	126
54	124
55	122
56	121
57	120
58	118
59	117
60	116
61	115
62	114
63	113
64	111
65	110
66	109
67	108
68	107
69	106
70	105
71	103
72	100
73	98
74	97
75	96
76	95
77	94
78	93
79	92
80	91
81	90
82	89
83	88
84	87
85	86
86	85
87	84
88	83
89	82
90	81
91	80
92	79
93	78
94	77
95	76
96	75
97	74
98	73
99	72
100	71
101	70
102	69
103	68
104	67
105	66
106	65
107	64
108	63
109	62
110	61
111	60
112	59
113	58
114	57
115	56
116	55
117	54
118	53
119	52
120	51
121	50
122	49
123	48
124	47
125	46
126	45
127	44
128	43
129	42
130	41
131	40
132	39
133	38
134	37
135	36
136	35
137	34
138	33
139	32
140	31
141	30
142	29
143	28
144	27
145	26
146	25
147	24
148	23
149	22
150	21
151	20
152	19
153	18
154	17
155	16
156	15
157	14
158	13
159	12
160	11
161	10
